FECHA,PERIÓDICO,LINK ARTÍCULO
16/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180216/desastres-superan-capacidad-reaccion-autoridades
16/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180216/psicologos-brindan-apoyo-victimas-riada-tiquipaya
18/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180218/reforestan-cuenca-taquina-1300-platines-nativos
18/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180218/mascotas-rescatadas-inundaciones-tiquipaya-esperan-adopcion
19/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180219/trasladan-afectados-centros-condiciones-ni-ayuda-suficiente
19/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180219/forestan-cuenca-taquina-1300-arboles-nativos
19/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180219/albergue-invita-poblacion-adoptar-mascotas-tiquipaya
20/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180220/damnificados-seran-reubicados-zonas-legales-sus-jurisdicciones
21/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180221/afectados-tiquipaya-piden-que-apoyo-institucional-sea-constante
23/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180223/tiquipaya-aun-no-tiene-terrenos-reubicar-familias-afectadas
23/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180223/riada-destruye-pozo-zona-juventud-chilimarca-vecinos-se-quedan-agua
24/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180224/afectados-deudas-tiquipaya-incertidumbre-pagos-seguro
24/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180224/alistan-campana-forestacion-torno-cuenca-taquina
25/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180225/tiquipaya-instalara-sistema-alerta-rio-taquina
26/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180226/comunarios-senalan-cuatro-zonas-riesgo-cerro-tiquipaya
27/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180227/viviendas-afectadas-tiquipaya-invadieron-franja-seguridad
01/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180301/tiquipaya-uso-norma-defectuosa-casas-franja-seguridad
03/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180303/donaciones-tiquipaya-se-agotan-hay-gente-albergues
05/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180305/afectados-deslave-intentan-levantarse-medio-dificultades
05/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180305/sigue-incertidumbre-mes-del-desastre-tiquipaya
06/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180306/desastre-revelo-irregularidades-solucion-afectados-tarda
06/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180306/pese-adversidad-familias-luchan-salir-adelante
07/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180307/plantean-revisar-avance-huella-urbana-desastre
08/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180308/pese-al-desastre-mazamorra-casas-proliferan-tunari
08/03/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180308/deslave-morochata-no-sirvio-prevenir-siniestro-tiquipaya
